project_id,project_title,major,target_field,difficulty,estimated_time,skills_required,skills_learned,deliverables,resume_value_1_10,portfolio_value_1_10,verification_type,source_type,career_signal,why_this_project_is_good
P013,Resume Keyword Analyzer (NLP),Computer Science,AI/ML,Intermediate,4-6 weeks,Python intermediate,"spaCy or NLTK, TF-IDF, Flask, model evaluation","GitHub repo, deployed Flask demo, evaluation report",8,8,Live demo + GitHub repo,At-home,AI/ML proof,Connects NLP to a relatable career problem — one of the strongest patterns in successful ML intern resumes
P014,Student Grade Prediction Model (UCI Practice Dataset),Data Analytics,AI/ML,Beginner,3-4 weeks,Python basics,"Pandas, scikit-learn, logistic regression, feature engineering","Jupyter notebook, GitHub repo, evaluation report, data and ethics card",7,6,GitHub notebook + PDF report,At-home,AI/ML proof,A bounded supervised-learning exercise using the documented UCI Student Performance dataset with leakage controls and non-decision safeguards
P015,Fine-Tune a Small LLM with LoRA,Computer Science,AI/ML,Advanced,6-8 weeks,"Python intermediate, PyTorch basics","Hugging Face, PEFT/LoRA, evaluation, prompt design","GitHub repo with training script, adapter weights, eval report",9,9,GitHub repo + adapter on HF Hub,At-home,AI/ML proof,Hands-on LoRA training proves you can ship modern LLM work — extremely rare on undergrad resumes
P016,Image Classifier for a Real-World Niche (e.g. plant disease),Computer Science,AI/ML,Intermediate,4-6 weeks,Python intermediate,"PyTorch or TF, CNNs, transfer learning, data augmentation","GitHub repo, model card, deployed Streamlit demo",8,9,Live Streamlit + GitHub,At-home,AI/ML proof,Niche image domain with a deployed demo shows you can take a model from data to UI
P017,RAG Question-Answer Bot Over Course Notes,Computer Science,AI/ML,Intermediate,4-5 weeks,Python intermediate,"Embeddings, vector DB, LangChain or llama-index, prompt design","Deployed bot, GitHub repo, demo video",8,9,Live URL + GitHub repo,At-home,AI/ML proof,RAG is the dominant production LLM pattern — building one end-to-end is more valuable than any course
P018,Kaggle Tabular Competition (Top 25%),Data Analytics,AI/ML,Intermediate,4-6 weeks,"Python intermediate, statistics","Feature engineering, XGBoost, cross-validation, leaderboard discipline","Kaggle profile with finish, notebook, GitHub mirror",8,7,Public Kaggle ranking,Competition,AI/ML proof,A public leaderboard finish is third-party verification of modeling skill
P019,Sentiment Analysis Dashboard for Reviews,Data Analytics,AI/ML,Beginner,3-4 weeks,Python basics,"TextBlob, Streamlit, basic NLP, visualization","Working local Streamlit dashboard, notebook, GitHub repo, evaluation report, dashboard screenshots",7,7,GitHub repo + local run instructions + PDF report,At-home,AI/ML proof,A reproducible rule-based sentiment dashboard with a fixed public benchmark and documented evaluation limitations
P020,Reinforcement Learning Agent for a Classic Game,Computer Science,AI/ML,Advanced,6-8 weeks,"Python intermediate, linear algebra","Gymnasium, DQN or PPO, reward shaping, training stability","GitHub repo, training curves, demo video",8,9,GitHub repo + video,At-home,AI/ML proof,RL is visually compelling and demonstrates math + engineering — uncommon at undergrad level
P021,"MLOps Pipeline: Train, Track, Deploy",Computer Science,AI/ML,Advanced,6-8 weeks,"Python intermediate, Git","MLflow, Docker, FastAPI, model versioning, monitoring","GitHub repo, deployed inference endpoint, MLflow screenshots",9,8,Live endpoint + GitHub repo,At-home,AI/ML proof,MLOps proof closes the most common gap between coursework and industry expectations
P022,Fairness Audit of an Adult-Income Benchmark Model,Computer Science,AI/ML,Intermediate,3-4 weeks,"Python intermediate, statistics","Fairlearn, subgroup metrics, uncertainty analysis, report writing","GitHub repo, reproducible audit notebook, 4-6 page audit report, mitigation comparison",7,7,GitHub repo + PDF report,Research-style,Research proof,A bounded fairness-evaluation exercise using the documented UCI Adult benchmark and explicit subgroup and non-decision limitations
P023,CDC PLACES County Health Data Analysis,Data Analytics,Data Analytics,Beginner,3-4 weeks,Excel or Python basics,"Pandas, rate normalization, correlation analysis, data storytelling","Notebook, GitHub repo, 1-page insight summary, CDC source and measure log",7,7,GitHub repo + summary,At-home,Data analysis proof,A bounded descriptive analysis of a named CDC PLACES county release with traceable denominators and non-causal interpretation
P024,NCAA Sports Performance Dashboard,Data Analytics,Data Analytics,Beginner,3-4 weeks,Excel or Tableau basics,"Tableau/Power BI, KPI design, dashboard UX","Tableau Public link, 1-page data story",7,8,Tableau Public link,At-home,Data analysis proof,A published Tableau dashboard is one click away from being seen by a recruiter
P025,Local Business KPI Dashboard,Data Analytics,Data Analytics,Beginner,3-4 weeks,Excel basics,"Power BI or Tableau, KPI selection, stakeholder interview","Dashboard file, screenshot deck, owner testimonial",8,8,Owner testimonial + screenshots,Local business,Business analytics proof,Real client + real data is the strongest pattern in analyst intern resumes
P026,SQL Practice Portfolio (50 Real Queries),Data Analytics,Data Analytics,Beginner,3-4 weeks,None,"SQL joins, window functions, CTEs, query optimization","GitHub repo with annotated queries, public Mode/StrataScratch profile",6,6,Public profile + GitHub,At-home,Data analysis proof,SQL fluency is the single most consistent required skill in analyst job descriptions
P027,Reproducible A/B Test Analysis (Synthetic Randomized Data),Data Analytics,Data Analytics,Intermediate,3-4 weeks,"Statistics basics, Python or R","Hypothesis testing, confidence intervals, effect size","Notebook, GitHub repo, seeded data generator, executive summary memo",8,7,GitHub notebook + memo,At-home,Data analysis proof,A transparent randomized-experiment practice case that demonstrates statistical analysis without claiming real campaign outcomes
P028,Customer Churn Analysis (OpenML Telco Data),Data Analytics,Data Analytics,Intermediate,4-5 weeks,Python basics,"Pandas, scikit-learn, leakage control, model evaluation, business framing","Notebook, GitHub repo, data card, executive memo with bounded recommendations",8,8,GitHub repo + memo,At-home,Business analytics proof,A business-framed predictive-analysis exercise using a named public dataset with reproducible evaluation and non-causal recommendations
P029,Personal Carbon Footprint Tracker in Excel,Data Analytics,Data Analytics,Beginner,2-3 weeks,Excel or Google Sheets,"Formula design, conditional formatting, data modeling","Editable template, methodology write-up, EPA factor source log and formula checks",6,6,Editable workbook + methodology,At-home,Data analysis proof,A reusable spreadsheet artifact that demonstrates transparent emissions-factor calculations and uncertainty communication
P030,End-to-End ETL Pipeline (Airbyte or Python),Data Analytics,Data Analytics,Intermediate,4-6 weeks,"Python basics, SQL","ETL design, scheduling, dbt or SQL transforms, data validation","GitHub repo, pipeline diagram, sample warehouse",8,7,GitHub repo,At-home,Backend/API proof,Data engineering signals on an analyst resume make you a 2-role candidate
P031,Survey Design + Analysis for a Student Org,Data Analytics,Data Analytics,Beginner,2-3 weeks,Basic statistics,"Survey design, descriptive stats, charting","Survey instrument, results report, presentation deck",6,6,Org letter + report,On-campus,Data analysis proof,Real respondents + real client is more credible than another Kaggle notebook
P032,PicoCTF Beginner Track Completion,Computer Science,Cybersecurity,Beginner,3-5 weeks,None,"Web exploitation basics, crypto, forensics, scripting","Public PicoCTF profile with badges, write-ups GitHub repo",7,7,Public profile + write-ups,Competition,Cybersecurity proof,"Free, verifiable, beginner-friendly — every cybersecurity intern resume should start here"
P033,Home Lab: SIEM with Wazuh + Test Attacks,Computer Science,Cybersecurity,Intermediate,5-6 weeks,Linux basics,"SIEM concepts, log analysis, MITRE ATT&CK basics","GitHub repo with config, dashboard screenshots, attack write-up",8,8,GitHub repo + screenshots,At-home,Cybersecurity proof,Home labs are the strongest defensive-security signal a student can show without an internship
P034,Vulnerable Web App Walkthrough (DVWA/OWASP Juice Shop),Computer Science,Cybersecurity,Beginner,3-4 weeks,"Basic web knowledge, permission to install Docker Desktop or Node.js","OWASP Top 10, Burp Suite, vulnerability reporting","Sanitized GitHub repo with setup guide, reproducible findings, screenshots, severity rationale, mitigation notes, and remediation checks",7,8,GitHub repo + write-ups,At-home,Cybersecurity proof,"Hands-on OWASP Top 10 practice in an intentionally vulnerable local lab, producing a reviewable application-security portfolio artifact with reproducible findings, severity rationale, mitigations, and remediation checks"
P035,TryHackMe Pre-Security + Cyber Defense Path,Computer Science,Cybersecurity,Beginner,6-8 weeks,None,"Networking, Windows/Linux fundamentals, blue team tooling",TryHackMe public profile with completed paths,6,6,Public profile,Third-party,Cybersecurity proof,Structured external path with verifiable completion — cheap signal for freshmen
P036,Phishing Email Header Analysis Lab (Sanitized Fixtures),Computer Science,Cybersecurity,Beginner,2-3 weeks,None,"Header analysis, SPF/DKIM/DMARC interpretation, IOC provenance","5-page report, annotated synthetic email fixtures, GitHub repo, redaction and confidence log",6,7,GitHub repo + PDF,At-home,Cybersecurity proof,A safe defensive-analysis lab using fictional headers and reserved domains instead of live suspicious messages or links
P037,Bug Bounty Triage Report on Public Program,Computer Science,Cybersecurity,Advanced,6-8 weeks,"Web fundamentals, Burp basics","Reconnaissance, responsible disclosure, professional reporting","Sanitized report, HackerOne profile, GitHub repo with methodology",9,9,HackerOne profile,Third-party,Cybersecurity proof,A real disclosed report is the strongest possible signal short of an internship
P038,Network Traffic Analysis with Wireshark,Computer Science,Cybersecurity,Beginner,2-3 weeks,Networking basics,"Wireshark filters, protocol analysis, traffic evidence","Student-owned lab PCAP samples, display-filter log, GitHub repo, 4-page analysis report",6,7,GitHub repo + report,At-home,Cybersecurity proof,A privacy-bounded protocol-analysis exercise using only student-generated local traffic or documented public sample captures
P039,FPGA-Based Binary Calculator,Computer Engineering,Computer Engineering,Beginner,3-5 weeks,Basic circuit knowledge,"VHDL or Verilog, FPGA toolchains, logic design","Demo video (hardware board or simulation-only), GitHub repo, schematic diagram",7,8,Video demo + GitHub repo,At-home,Hardware prototype proof,A simulation-backed HDL calculator demonstrates digital-logic and verification skills without requiring physical hardware
P040,Arduino Smart Irrigation Controller (Hardware or Simulation),Computer Engineering,Computer Engineering,Beginner,4-5 weeks,Basic electronics,"Arduino C++, sensor integration, circuit simulation and prototyping","Wokwi simulation or optional low-voltage prototype, wiring schematic, GitHub repo, demo video, path-specific BOM",8,9,Video + GitHub + schematic and BOM,At-home,Engineering prototype proof,A simulation-first embedded controller with an optional low-voltage build path and explicit water and electrical safety boundaries
P041,Custom PCB Business Card with LED,Computer Engineering,Computer Engineering,Intermediate,5-6 weeks,Basic circuits,"KiCad, PCB design rules, Gerber export, component sourcing","Gerber files on GitHub, photo of assembled board, cost breakdown",8,9,Physical artifact + Gerbers,At-home,Hardware prototype proof,A physical artifact you can literally hand to a recruiter — extremely memorable
P042,Verilog 4-Bit RISC Processor,Computer Engineering,Computer Engineering,Advanced,6-8 weeks,"Verilog basics, digital logic","RTL design, testbenches, ModelSim, timing analysis","GitHub repo, testbench results, 1-page architecture brief",9,8,GitHub repo + simulation,On-campus,Hardware prototype proof,A working processor in HDL is one of the highest-status undergrad CE projects
P043,IoT Sensor Network with MQTT,Computer Engineering,Computer Engineering,Intermediate,4-5 weeks,Arduino basics,"ESP32, MQTT, broker setup, dashboard","GitHub repo, dashboard screenshots, demo video",8,8,GitHub + dashboard,At-home,Hardware prototype proof,Connects embedded to software — a 2-domain proof rare on freshman resumes
P044,Bare-Metal Driver for an SPI Sensor,Computer Engineering,Computer Engineering,Advanced,4-6 weeks,"C, microcontroller basics","Register-level programming, SPI, datasheet reading","GitHub repo, oscilloscope screenshots, technical brief",9,8,GitHub + scope captures,At-home,Hardware prototype proof,Bare-metal C is the language of embedded firmware roles — register-level work is a rare and respected signal
P045,Power Quality Monitor with Arduino,Electrical Engineering,Electrical Engineering,Intermediate,4-6 weeks,Basic circuits,"Voltage/current sensing, ADC, serial logging","GitHub repo, demo video, calibration CSV",8,9,GitHub + video,At-home,Hardware prototype proof,Power electronics is perennially understaffed — a working monitor shows both hardware and software fluency
P046,FM Radio Receiver on a Breadboard,Electrical Engineering,Electrical Engineering,Beginner,3-5 weeks,Basic electronics,"RF fundamentals, LC tuning, demodulation","Schematic, photo, demo video, BOM",7,8,Physical build + video,At-home,Hardware prototype proof,Analog RF is a skill gap in modern EE graduates — building from discretes impresses senior engineers
P047,Solar Charge Controller Simulation (LTspice),Electrical Engineering,Electrical Engineering,Intermediate,4-6 weeks,Circuits,"LTspice, MPPT, PWM, battery modeling","LTspice files on GitHub, waveform screenshots, 2-page report",8,8,GitHub + screenshots,At-home,CAD/design proof,MPPT simulation with documented design decisions mirrors real power electronics work
P048,MATLAB Signal Filtering for Audio,Electrical Engineering,Electrical Engineering,Beginner,2-3 weeks,"MATLAB basics, intro signals","FIR/IIR filters, FFT, audio processing","GitHub repo, student-owned or clearly licensed audio before/after, plots, source/license log",7,7,GitHub repo + source/license log,At-home,CAD/design proof,Signal processing fundamentals on rights-cleared audio with MATLAB or free GNU Octave form a reproducible DSP practice artifact
P049,Software Defined Radio with RTL-SDR,Electrical Engineering,Electrical Engineering,Intermediate,4-5 weeks,Linux basics,"GNURadio, demodulation, spectrum analysis","GitHub repo, screenshots, demo video",8,8,GitHub + video,At-home,Hardware prototype proof,Cheap hardware + open tooling lets you produce a serious RF artifact on a student budget
P050,Motor Control with PID Feedback,Electrical Engineering,Electrical Engineering,Intermediate,4-6 weeks,"Circuits, intro control","PID tuning, encoder feedback, oscilloscope","Demo video, code on GitHub, tuning logs",8,8,Video + GitHub,On-campus,Hardware prototype proof,Closed-loop control is the language of motor and robotics roles
P051,Ergonomic Phone Stand CAD Iteration (Print Optional),Mechanical Engineering,Mechanical Engineering,Beginner,3-4 weeks,Basic CAD,"FreeCAD, dimensioned modeling, iterative design, design-for-manufacture","Native FreeCAD file, STL export, 3 iteration renders or screenshots, design rationale, optional print photos",7,9,Native CAD + STL + iteration evidence + rationale,At-home,CAD/design proof,Three dimensioned CAD iterations demonstrate engineering decision-making without requiring printer access
P052,FEA Stress Analysis of a Bicycle Frame,Mechanical Engineering,Mechanical Engineering,Intermediate,4-6 weeks,"Statics, intro CAD","FreeCAD, SimScale Community or Ansys Student, material selection, safety factor analysis","Native FEA project archive, stress maps, 2-page technical memo",8,8,Native simulation files + report,At-home,CAD/design proof,A free CAD-to-FEA workflow with explicit solver limits produces inspectable simulation evidence and a bounded technical memo
P053,Wind Turbine Blade Design Challenge,Mechanical Engineering,Mechanical Engineering,Intermediate,5-6 weeks,"Fluids, basic CAD","Blade design, CFD basics, trade-off analysis","CAD model, CFD screenshots, 1-page performance summary",8,8,CAD + CFD,At-home,CAD/design proof,Energy systems is a priority hire area — documented trade-off analysis shows systems thinking
P054,DIY Tensile Testing Rig with Data Logging,Mechanical Engineering,Mechanical Engineering,Intermediate,5-7 weeks,"Basic shop, intro Python","Arduino sensors, experimental design, materials","Arduino code, test data CSV, lab report",9,9,Physical rig + GitHub + report,At-home,Hardware prototype proof,Building your own test equipment is a rare and impressive 3-domain signal
P055,SAE Baja or Formula Subsystem Contribution,Mechanical Engineering,Mechanical Engineering,Intermediate,one semester,"Basic CAD, statics","Subsystem ownership, team workflow, design reviews","Subsystem CAD package, photos, team-reviewed write-up",9,9,Team artifact + photos,On-campus,CAD/design proof,Team competition with a real artifact is one of the most consistent patterns in mechanical hires
P056,Robotic Arm with Inverse Kinematics,Mechanical Engineering,Mechanical Engineering,Advanced,6-8 weeks,"CAD, intro control","Servo control, IK math, mechanical assembly","Demo video, code, CAD files, design write-up",9,9,Video + CAD + code,At-home,Hardware prototype proof,Mechatronics breadth — CAD + code + control — is the highest-value combined ME signal
P057,Authorized Site Survey with FreeCAD or LibreCAD Plan,Civil Engineering,Civil / Construction,Beginner,3-4 weeks,Access to a student-controlled or permissioned low-risk site,"Site measurement, FreeCAD or LibreCAD drafting, scale drawing, field safety","Plan PDF, permission and safety note, privacy-safe photo documentation, 2-page methodology",7,7,Plan PDF + permission/safety note + privacy-safe photos,At-home,CAD/design proof,"A permissioned field-to-drawing workflow is a strong, practical civil portfolio signal"
P058,Revit BIM Model of a Small Residential Building,Civil Engineering,Civil / Construction,Intermediate,4-6 weeks,Revit basics,"BIM workflows, schedule generation, family creation","Revit file, rendered views PDF, schedules export",8,8,Revit file + renders,On-campus,CAD/design proof,Revit fluency is the #1 most requested tool in construction job descriptions
P059,Construction Schedule with ProjectLibre,Civil Engineering,Civil / Construction,Beginner,2-3 weeks,None,"ProjectLibre, critical path method, Gantt charts, resource leveling","Editable ProjectLibre file, PDF schedule, 1-page narrative",7,6,Native schedule file + PDF narrative,At-home,Construction/project management proof,"Scheduling tooling is a common CM internship skill and ProjectLibre provides a free, inspectable practice path"
P060,Safety Plan Audit for a Small Local Site,Civil Engineering,Civil / Construction,Beginner,2-3 weeks,None,"OSHA 30 concepts, site walkthrough, gap reporting","Audit report PDF, photos (redacted), owner letter",7,6,Owner letter + PDF,Local business,Client-facing proof,OSHA-aligned audits with a real site give construction students an interview talking point
P061,Quantity Takeoff and Cost Estimate Project,Civil Engineering,Civil / Construction,Intermediate,3-4 weeks,Reading drawings,"LibreOffice Draw and Calc, quantity takeoff, unit costing, estimator workflow","Editable markup file, formula-driven takeoff workbook, source log, 2-page cost memo",8,7,Editable markup + workbook + memo,At-home,Construction/project management proof,A bounded fictional takeoff with traceable quantities and costs is practical construction-estimating proof
P062,Structural Analysis of a Small Beam in SAP2000,Civil Engineering,Civil / Construction,Intermediate,3-4 weeks,Statics,"SAP2000 or RISA, load cases, code references","Project file, results PDF, 2-page analysis memo",8,7,Project file + PDF,On-campus,CAD/design proof,Hands-on with an industry FEM tool that most students only see in senior year
P063,DCF Model for a Public Company,Finance,Finance,Intermediate,3-4 weeks,Excel intermediate,"Three-statement modeling, DCF, sensitivity tables","Excel or Google Sheets model, 5-slide deck, 2-page memo, dated valuation source log",8,7,Editable model + deck PDF + source log,At-home,Finance modeling proof,A dated and auditable DCF demonstrates valuation assumptions, linked formulas, sensitivities, and decision communication
P064,LBO Model for a Mid-Cap Target,Finance,Finance,Advanced,4-5 weeks,"Excel advanced, accounting","LBO mechanics, debt schedule, returns analysis","Excel model, 5-page write-up, sensitivity tables",9,7,Excel + memo PDF,At-home,Finance modeling proof,LBO models are the differentiator for PE-track internship applicants
P065,Personal Investment Portfolio with Risk Analysis,Finance,Finance,Intermediate,4-5 weeks,Excel or Python basics,"Portfolio theory, Sharpe ratio, Monte Carlo","Excel workbook or GitHub repo, risk/return report",8,8,GitHub or workbook,At-home,Finance modeling proof,Quant + finance crossover demonstrates readiness rare among finance freshmen
P066,Equity Pitch Deck for a Public Stock,Finance,Finance,Intermediate,3-4 weeks,Excel basics,"Investment thesis, comp tables, presentation polish","10-slide pitch PDF, 1-page memo, simple model, dated market-data and peer-source log",8,8,Deck + editable model + source log,At-home,Finance modeling proof,A sourced public-company thesis package demonstrates comparable analysis, disconfirming evidence, and model-to-deck consistency
P067,Real Estate Pro Forma for a Local Property,Finance,Finance,Intermediate,3-4 weeks,Excel intermediate,"Pro forma structure, cap rates, IRR/MOIC","Excel model, 2-page investment memo",8,7,Excel + memo,Local business,Finance modeling proof,Real estate pro formas align perfectly with REPE and CRE analyst recruiting
P068,Bloomberg Terminal Certification (BMC),Finance,Finance,Beginner,2-3 weeks,None,"Bloomberg navigation, equity/fixed income/FX modules","BMC certificate, 1-page reflection",6,5,Certificate PDF,On-campus,Finance modeling proof,"Free, fast, resume-listable signal that shows initiative without overclaiming"
P069,Trading Strategy Backtest in Python,Finance,Finance,Intermediate,4-6 weeks,Python basics,"Backtrader or vectorbt, returns analysis, risk metrics","GitHub repo, backtest report, methodology write-up",8,8,GitHub repo,At-home,Finance modeling proof,A quant-style backtest with proper risk metrics signals readiness for hedge fund and trading internships
P070,Credit Analysis: Apple 4.45% Notes Due 2044,Finance,Finance,Intermediate,3-4 weeks,Accounting basics,"Credit ratios, covenant reading, downside analysis","5-page credit memo, editable ratio model, comp table, prospectus and filing source log",8,7,PDF memo + editable model + source log,At-home,Finance modeling proof,A fixed SEC-filed corporate-note case demonstrates debt-stack analysis, coverage ratios, covenant sourcing, and downside reasoning
P071,Product Launch Social Media Campaign (Fictional Brand Concept),Marketing,Marketing,Beginner,3-4 weeks,Social media familiarity,"Campaign briefs, audience segmentation, KPI and offline test-plan design","Brief PDF, 3 Canva assets, content calendar, hypothetical KPI framework",7,8,PDF portfolio piece,At-home,Marketing analytics proof,A clearly fictional campaign concept demonstrates audience and channel planning without impersonating a brand or claiming live performance
P072,SEO Audit for a Real Local Business,Marketing,Marketing,Beginner,2-3 weeks,Basic web,"Search Console, keyword research, on-page SEO","Audit PDF, keyword CSV, 3-month content plan, owner letter",8,7,Owner letter + PDF,Local business,Marketing analytics proof,Real client + auditable keyword work is entry-level agency tasking
P073,Google Analytics 4 Implementation for a Student Org,Marketing,Marketing,Beginner,2-3 weeks,None,"GA4, GTM, event tracking, basic reporting","GA4 dashboard screenshots, implementation write-up",7,7,GA4 screenshots,On-campus,Marketing analytics proof,Analytics tooling is the #1 missing skill on aspiring digital marketing resumes
P074,Email Marketing Sequence with Mailchimp,Marketing,Marketing,Beginner,2-3 weeks,Writing basics,"Email design, segmentation, A/B subject lines","Sequence screenshots, results CSV, 1-page report",6,7,Mailchimp + CSV,On-campus,Marketing analytics proof,Email marketing is a daily task at most marketing internships and easy to practice with a real club
P075,Paid Social Mini-Campaign ($50 Budget),Marketing,Marketing,Intermediate,2-3 weeks,Social media familiarity,"Meta Ads or TikTok Ads, audience targeting, creative testing","Campaign screenshots, results CSV, retrospective memo",8,8,Ad platform screenshots,At-home,Marketing analytics proof,Running a real paid campaign with real spend produces auditable data that interns rarely have
P076,Public-Evidence Brand Audit and Repositioning Memo,Marketing,Marketing,Beginner,2-3 weeks,Writing,"Brand evidence matrix, competitive analysis, recommendation writing","8-page audit PDF, 1-page exec summary, dated source log",6,7,PDF audit + source log,At-home,Marketing analytics proof,A public-evidence brand audit demonstrates traceable competitive observations and bounded recommendations without implying insider access
P077,Content Calendar + Analytics Report for a Student Org,Marketing,Marketing,Beginner,3-4 weeks,Writing,"Calendar design, engagement analytics, narrative reporting","Calendar PDF, before/after analytics screenshot, 1-page report",7,6,Analytics screenshot + report,On-campus,Marketing analytics proof,Real org + real data is auditable proof of impact
P078,Competitive Analysis Report for a Local Small Business,Business,Consulting,Beginner,2-3 weeks,Research,"Porter's Five Forces, SWOT, market sizing","10-15 page PDF, executive summary, owner letter",8,7,Owner letter + PDF,Local business,Client-facing proof,Real business context with real audience mirrors strategy analyst work
P079,Market Entry Report: U.S. Residential Heat-Pump Services,Business,Consulting,Intermediate,4-5 weeks,"Research, data synthesis","Secondary research, market sizing, scenario analysis, executive writing","15-page PDF, 5-slide summary, annotated bibliography, sizing workbook",8,7,PDF + slide deck + workbook,At-home,Client-facing proof,A defined public-data market-entry case demonstrates sizing reconciliation, competitive structure, risks, and executive synthesis
P080,Case Competition Participation,Business,Consulting,Intermediate,one semester,"Teamwork, slides","Case structuring, time pressure, delivery polish","Case deck, finalist/winner certificate if applicable",8,8,Deck + competition record,Competition,Client-facing proof,Cases are the standard screening artifact for consulting recruiting
P081,Operational Improvement Pitch for a Campus Service,Business,Consulting,Beginner,3-4 weeks,"Research, basic process mapping","Process mapping, lean concepts, recommendations","8-page memo, 1-page exec summary, stakeholder letter",7,7,Memo + letter,On-campus,Client-facing proof,On-campus client work is one of the easiest ways for freshmen to get real-stakeholder proof
P082,Pro Bono Strategy Sprint for a Nonprofit,Business,Consulting,Intermediate,4-6 weeks,"Research, slides","Stakeholder interviews, deliverable scoping, executive presentation","Final deck, written recs, signed engagement letter",9,8,Letter + deck,Nonprofit/community,Client-facing proof,Real nonprofit + signed engagement letter is one of the strongest consulting candidate signals
P083,Spreadsheet Beer Game Simulation (Single-Student Practice Case),Operations,Operations,Beginner,2-3 weeks,Excel basics,"Bullwhip effect, inventory dynamics, simulation analysis","Editable simulation workbook, run data, charts, 4-page report",6,6,Editable workbook + report,At-home,Operations improvement proof,A deterministic four-echelon spreadsheet simulation makes inventory dynamics measurable without a classroom or partner dependency
